OrderID,CustomerID,EmployeeID,OrderDate,ShipperID  
10248,90,5,2022-07-04,3  
10249,81,6,2022-07-05,1  
10250,34,4,2022-07-08,2  
10251,88,3,2022-07-08,1  
10252,76,4,2022-07-09,2  
10253,50,2,2022-07-10,3  
10254,89,4,2022-07-11,1  
10255,12,1,2022-07-12,2  
10256,73,5,2022-07-13,1  
10257,22,3,2022-07-14,2  
10258,11,4,2022-07-15,3  
10259,45,2,2022-07-16,1  
10260,78,6,2022-07-17,3  
10261,39,5,2022-07-18,1  
10262,41,2,2022-07-19,2  
10263,54,3,2022-07-20,1  
10264,66,4,2022-07-21,2  
10265,99,6,2022-07-22,3  
10266,33,5,2022-07-23,1  
10267,80,2,2022-07-24,3  
10268,25,1,2022-07-25,2
