ShipperID,CompanyName,Phone  
1,Speedy Express,(503) 555-9831  
2,United Package,(503) 555-3199  
3,Federal Shipping,(503) 555-9931  
4,Fast Freight,(503) 555-2244  
5,Express Delivery,(503) 555-8765  
6,Rapid Transport,(503) 555-6789  
7,Global Shipments,(503) 555-1234  
8,Quick Logistics,(503) 555-5678  
9,Parcel Solutions,(503) 555-2345  
10,Premier Carriers,(503) 555-3456  
11,Velocity Shipping,(503) 555-7890  
12,Direct Dispatch,(503) 555-4567  
13,Next Day Delivery,(503) 555-9101  
14,ABC Shipping,(503) 555-1122  
15,Coastal Couriers,(503) 555-2233  
16,Swift Transport,(503) 555-3344  
17,Metro Shippers,(503) 555-4455  
18,Reliable Freight,(503) 555-5566  
19,Eco-Friendly Shipping,(503) 555-6677  
20,On-Time Express,(503) 555-7788  
21,Trusted Couriers,(503) 555-8899  
22,ShipRight,(503) 555-9900
